aj1002	aj7937
aj1009	aj7938
aj1010	aj7939
aj11874	aj11958
aj11875	aj11959
aj11876	aj11960
aj11877	aj11961
aj11879	aj11963
aj11881	aj11965
aj11882	aj11966
aj11884	aj11968
aj11886	aj11970
aj11888	aj11972
aj11889	aj11973
aj11890	aj11974
aj11891	aj11975
aj11892	aj11976
aj11893	aj11977
aj11894	aj11978
aj11896	aj11980
aj11898	aj11982
aj11900	aj11984
aj11901	aj11985
aj11902	aj11986
aj11903	aj11987
aj11904	aj11988
aj11905	aj11989
aj11906	aj11990
aj11907	aj11991
aj11909	aj11993
aj11912	aj11996
aj11913	aj11997
aj11915	aj11999
aj11918	aj12002
aj11919	aj12003
aj11920	aj12004
aj11921	aj12005
aj11924	aj12008
aj11925	aj12009
aj11926	aj12010
aj11930	aj12014
aj11932	aj12016
aj11933	aj12017
aj11934	aj12018
aj11935	aj12019
aj11936	aj12020
aj11937	aj12021
aj11938	aj12022
aj11939	aj12023
aj11940	aj12024
aj11941	aj12025
aj11942	aj12026
aj11943	aj12027
aj11944	aj12028
aj11945	aj12029
aj11946	aj12030
aj11947	aj12031
aj11950	aj12034
aj11951	aj12035
aj11954	aj12038
aj11955	aj12039
aj11956	aj12040
aj12129	aj12139
aj12130	aj12140
aj12131	aj12141
aj12132	aj12142
aj16197	aj16329
aj16198	aj16330
aj16205	aj16331
aj16236	aj16333
aj16237	aj16334
aj16238	aj16335
aj16239	aj16336
aj16240	aj16337
aj16241	aj16338
aj16242	aj16339
aj16243	aj16340
aj16244	aj16341
aj16245	aj16342
aj16246	aj16343
aj16247	aj16344
aj16248	aj16345
aj16249	aj16346
aj16250	aj16347
aj16251	aj16348
aj16252	aj16349
aj634	aj7887
aj635	aj7888
aj636	aj8268
aj637	aj8274
aj649	aj7889
aj650	aj7890
aj660	aj7891
aj661	aj7892
aj662	aj7893
aj665	aj7894
aj666	aj7895
aj667	aj7896
aj668	aj7897
aj669	aj7898
aj672	aj7956
aj673	aj7957
aj674	aj7899
aj675	aj7900
aj676	aj7901
aj677	aj7902
aj678	aj7903
aj679	aj7904
aj680	aj7905
aj681	aj7906
aj682	aj7907
aj683	aj7908
aj684	aj7909
aj685	aj7910
aj686	aj7911
aj687	aj7912
aj688	aj7913
aj689	aj7914
aj690	aj7915
aj691	aj7916
aj697	aj7917
aj736	aj739
aj737	aj738
aj738	aj736
aj739	aj737
aj7479	aj7481
aj7480	aj7482
aj7481	aj7479
aj7482	aj7480
aj7491	aj7495
aj7494	aj7498
aj7495	aj7503
aj7498	aj7506
aj7499	aj7491
aj7502	aj7494
aj7503	aj7499
aj7506	aj7502
aj7507	aj7523
aj7508	aj7527
aj7511	aj7526
aj7514	aj7530
aj7515	aj7531
aj7516	aj7535
aj7519	aj7534
aj7522	aj7538
aj7523	aj7515
aj7526	aj7519
aj7527	aj7516
aj7530	aj7522
aj7531	aj7507
aj7534	aj7511
aj7535	aj7508
aj7538	aj7514
aj7542	aj7545
aj7545	aj7542
aj7585	aj7940
aj7586	aj7941
aj7588	aj7943
aj7590	aj7945
aj7592	aj7947
aj7593	aj7948
aj7595	aj7950
aj7596	aj7951
aj7598	aj7953
aj7599	aj7954
aj7608	aj7956
aj7609	aj7957
aj7959	aj8264
aj7960	aj8265
aj8011	aj8013
aj8012	aj8014
aj8013	aj8012
aj8014	aj8011
aj8038	aj8329
aj8039	aj8330
aj8040	aj8339
aj8041	aj8340
aj8042	aj8338
aj8043	aj8348
aj8044	aj8344
aj8045	aj8347
aj8046	aj8343
aj8047	aj8349
aj8048	aj8350
aj8049	aj8358
aj8050	aj8357
aj8051	aj8353
aj8052	aj8356
aj8054	aj8324
aj8183	aj8333
aj8327	aj8334
aj8328	aj8337
aj842	aj7918
aj844	aj7919
aj846	aj7920
aj848	aj7921
aj850	aj7922
aj876	aj7923
aj908	aj7924
aj910	aj7925
aj912	aj7926
aj919	aj7927
aj925	aj7928
aj927	aj7929
aj929	aj7930
aj931	aj7931
aj933	aj7932
aj959	aj7933
aj991	aj7934
aj993	aj7935
aj995	aj7936
